Algorithm_1 Algorithm_2 Algorithm_3 Algorithm_4 
1, 1, 1, 0, 1, 2, 2, 1, 
3, 2, 1, 0, 2, 3, 2, 1, 
6, 4, 2, 0, 4, 4, 3, 1, 
10, 6, 3, 0, 8, 6, 4, 1, 
16, 9, 4, 1, 12, 9, 5, 1, 
24, 12, 5, 1, 19, 12, 5, 1, 
34, 15, 5, 1, 28, 15, 6, 1, 
45, 20, 6, 1, 39, 19, 7, 2, 
60, 24, 7, 1, 53, 23, 8, 2, 
77, 30, 8, 2, 70, 28, 9, 2, 
98, 35, 9, 2, 91, 33, 9, 2, 
122, 40, 10, 2, 115, 39, 10, 2, 
152, 47, 11, 2, 142, 45, 11, 2, 
180, 54, 12, 2, 174, 51, 12, 2, 
215, 62, 13, 2, 211, 58, 13, 2, 
253, 70, 14, 3, 252, 65, 14, 2, 
299, 79, 15, 3, 298, 73, 14, 3, 
345, 87, 16, 3, 350, 81, 15, 3, 
397, 97, 17, 3, 408, 90, 16, 3, 
